# lr,loss_stack_0,loss_stack_1,loss_stack_2,loss_stack_3,PSNR
1.000000000000000048e-04,-6.577473449707031250e+01,-6.412820434570312500e+01,-6.659930419921875000e+01,-5.885245895385742188e+01,1.800660133361816406e+01
2.999999999999999737e-04,-6.567603302001953125e+01,-6.259220504760742188e+01,-6.591651153564453125e+01,-5.845890808105468750e+01,1.804000854492187500e+01
5.000000000000000104e-04,-6.551599884033203125e+01,-6.254518508911132812e+01,-6.576062011718750000e+01,-5.859053802490234375e+01,1.779135513305664062e+01
8.000000000000000383e-04,-6.567169952392578125e+01,-6.285417175292968750e+01,-6.588964843750000000e+01,-5.834252166748046875e+01,1.783502197265625000e+01
1.000000000000000021e-03,-6.593737792968750000e+01,-6.345724105834960938e+01,-6.608917236328125000e+01,-5.862116241455078125e+01,1.762856483459472656e+01
1.000000000000000021e-03,-6.605547332763671875e+01,-6.362047576904296875e+01,-6.619239807128906250e+01,-5.886820983886718750e+01,1.756210899353027344e+01
1.000000000000000021e-03,-6.605944061279296875e+01,-6.381882858276367188e+01,-6.609318542480468750e+01,-5.872020721435546875e+01,1.761330604553222656e+01
1.000000000000000021e-03,-6.606958770751953125e+01,-6.399750518798828125e+01,-6.612863159179687500e+01,-5.861817550659179688e+01,1.765425491333007812e+01
1.000000000000000021e-03,-6.617049407958984375e+01,-6.409570312500000000e+01,-6.614768981933593750e+01,-5.861976242065429688e+01,1.765627670288085938e+01
1.000000000000000021e-03,-6.618488311767578125e+01,-6.382947540283203125e+01,-6.620874786376953125e+01,-5.881602859497070312e+01,1.764671325683593750e+01
